Timestamp,Source Device,Object Name,DSCP,Round Trip Min Delay,Round Trip Max Delay,Round Trip Avg Delay,Round Trip Jitter,Round Trip Loss
2019-01-19 10:52:54 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.628326416015625,44.94142532348633,5.945217609405518,5.864306665067765,0.0
2019-01-19 10:52:54 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.659320831298828,8.015632629394531,5.024075508117676,1.5276686429100312,0.0
2019-01-19 10:52:54 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,3.8399696350097656,56.405067443847656,17.369043827056885,13.593829624931175,0.0
2019-01-19 10:54:54 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.5968551635742188,59.47542190551758,6.41399621963501,5.2053775214689475,0.0
2019-01-19 10:54:54 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.5606155395507812,18.261194229125977,4.884052276611328,1.9740899542852604,0.0
2019-01-19 10:54:54 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,4.223346710205078,66.30420684814453,9.259939193725586,9.078316161149756,0.0
2019-01-19 10:55:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.574443817138672,27.60481834411621,5.071103572845459,3.3752247114118514,0.0
2019-01-19 10:55:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.241849899291992,60.89901924133301,6.422388553619385,6.656254735490233,0.0
2019-01-19 10:55:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,3.9365291595458984,42.90127754211426,10.77193021774292,9.313973348255034,0.0
2019-01-19 10:55:53 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.490520477294922,5.272150039672852,3.548717498779297,1.2606520658972684,0.0
2019-01-19 10:55:53 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,4.32896614074707,53.926944732666016,8.963143825531006,16.595369751614935,0.0
2019-01-19 10:55:53 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,3.5593509674072266,9.665727615356445,6.30338191986084,2.620219442673947,0.0
2019-01-19 10:57:07 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.532482147216797,5.218267440795898,3.7961840629577637,1.23351004381069,0.0
2019-01-19 10:57:07 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,4.524469375610352,45.84550857543945,29.808270931243896,21.999661375851872,0.0
2019-01-19 10:57:07 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,3.567218780517578,44.30365562438965,11.581528186798096,11.404936267252685,0.0
2019-01-19 10:58:07 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.934694290161133,5.375862121582031,4.132187366485596,1.2152660914276243,0.0
2019-01-19 10:58:07 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,5.465984344482422,43.88022422790527,19.59683895111084,13.074421664730503,0.0
2019-01-19 10:58:07 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,4.899501800537109,43.66159439086914,28.773605823516846,13.704189938893244,0.0
2019-01-19 11:00:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.532958984375,5.166769027709961,3.675210475921631,1.0369418947062585,0.0
2019-01-19 11:00:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.5572776794433594,11.053800582885742,4.8336029052734375,1.3068401142197603,0.0
2019-01-19 11:00:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,4.155874252319336,46.457529067993164,10.474896430969238,6.708198233019455,0.0
2019-01-19 11:05:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.513885498046875,70.15657424926758,7.348918914794922,9.087497986514885,0.0
2019-01-19 11:05:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.548694610595703,74.7528076171875,9.026217460632324,11.027462777633955,0.0
2019-01-19 11:05:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,5.419731140136719,25.372028350830078,8.116590976715088,3.2718233604302034,0.0
2019-01-19 11:10:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.696990966796875,27.462005615234375,5.224311351776123,3.013663845253063,0.0
2019-01-19 11:10:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.4852752685546875,20.10655403137207,4.092693328857422,2.1867674408797813,0.0
2019-01-19 11:10:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,5.502939224243164,57.74354934692383,9.629058837890625,5.1824911847706225,0.0
2019-01-19 11:15:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.5072097778320312,40.682315826416016,5.537259578704834,3.0366603737226665,0.0
2019-01-19 11:15:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.6967525482177734,5.368471145629883,4.152202606201172,1.004133537314498,0.0
2019-01-19 11:15:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.4366378784179688,44.50702667236328,9.512507915496826,8.38231636578996,0.0
2019-01-19 11:20:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.5053024291992188,15.722990036010742,4.606878757476807,2.2327660476823787,0.0
2019-01-19 11:20:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,4.592418670654297,48.60401153564453,14.894437789916992,8.871641773470948,0.0
2019-01-19 11:20:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,4.80198860168457,56.42962455749512,37.684547901153564,8.103106850683046,0.0
2019-01-19 11:25:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.554655075073242,8.653879165649414,3.7988901138305664,1.0282501245772782,0.0
2019-01-19 11:25:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.4938583374023438,7.248640060424805,4.1561126708984375,1.0085082757533528,0.0
2019-01-19 11:25:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.7811527252197266,5.941152572631836,4.373478889465332,0.9671553371744547,0.0
2019-01-19 11:30:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.599954605102539,32.7761173248291,5.219924449920654,4.11655211873936,0.0
2019-01-19 11:30:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.494335174560547,5.851268768310547,3.477466106414795,0.5995302763800593,0.0
2019-01-19 11:30:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.425670623779297,39.99471664428711,5.209231376647949,3.995557657839541,0.0
2019-01-19 11:35:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.5565624237060547,39.98517990112305,7.452845573425293,5.097920223094281,0.0
2019-01-19 11:35:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.469778060913086,11.134147644042969,4.520249366760254,1.8336878498035678,0.0
2019-01-19 11:35:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,5.469083786010742,27.24003791809082,10.07678508758545,9.268372223157574,0.0
2019-01-19 11:40:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.596616744995117,5.743980407714844,3.6518216133117676,0.7999616211918631,0.0
2019-01-19 11:40:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.568960189819336,15.46931266784668,5.542600154876709,5.285708894062717,0.0
2019-01-19 11:40:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,3.5333633422851562,42.825937271118164,8.354318141937256,6.069384064400022,0.0
2019-01-19 11:45:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.5169849395751953,28.184175491333008,4.988837242126465,2.6170973926850185,0.0
2019-01-19 11:45:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.464771270751953,76.55072212219238,8.019876480102539,6.8694085281784885,0.0
2019-01-19 11:45:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.7382373809814453,62.015533447265625,9.499073028564453,6.256732363156888,0.0
2019-01-19 11:50:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.622842788696289,41.464805603027344,6.65431022644043,5.014129951736309,0.0
2019-01-19 11:50:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,5.591630935668945,56.48207664489746,11.579334735870361,10.272787762003226,0.0
2019-01-19 11:50:04 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.5446414947509766,63.575029373168945,10.079550743103027,11.525484579217997,0.0
2019-01-19 11:55:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.524137496948242,5.218744277954102,3.712165355682373,0.9045225219389159,0.0
2019-01-19 11:55:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.574443817138672,7.270097732543945,3.898489475250244,1.9224668223875916,0.0
2019-01-19 11:55:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.673625946044922,19.377470016479492,6.8811774253845215,4.945453294913476,0.0
2019-01-19 12:00:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.476215362548828,4.696846008300781,3.220367431640625,0.5334319233081677,0.0
2019-01-19 12:00:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.4733543395996094,7.76219367980957,4.0283918380737305,1.5747857143552366,0.0
2019-01-19 12:00:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.5243759155273438,5.713462829589844,3.4561514854431152,0.667493548109152,0.0
2019-01-19 12:02:48 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.5670528411865234,15.228271484375,4.475831985473633,1.9086402018284756,0.0
2019-01-19 12:02:48 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,3.8862228393554688,23.761272430419922,7.315206527709961,5.681272729001616,0.0
2019-01-19 12:02:48 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.549409866333008,37.47200965881348,5.470418930053711,4.096485902615318,0.0
2019-01-19 12:05:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.5866031646728516,38.56945037841797,6.052267551422119,5.053991650398571,0.0
2019-01-19 12:05:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,4.225015640258789,39.92486000061035,9.025740623474121,6.952206410250859,0.0
2019-01-19 12:05:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,6.443023681640625,46.92363739013672,32.55356550216675,13.00716527331371,0.0
2019-01-19 12:10:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,AF31,2.5506019592285156,36.37528419494629,5.421888828277588,4.027980975069562,0.0
2019-01-19 12:10:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,EF,2.4530887603759766,58.82906913757324,5.994546413421631,5.031847357571762,0.0
2019-01-19 12:10:03 UTC,D-Hub-2,D-Hub-2:D-Hub-1,CS7,2.5246143341064453,48.279523849487305,5.7343244552612305,3.7818572942239936,0.0
